# sigma8,om0
8.101469673373522529e-01,3.284272710121695082e-01
8.101021389688266572e-01,3.291091564911144407e-01
8.099548370668606667e-01,3.282167693170621736e-01
8.103147050863787060e-01,3.289746268481897329e-01
8.100151539889222096e-01,3.283038003026529927e-01
8.100296878938822998e-01,3.290191059819766450e-01
8.101872646924742627e-01,3.291336316016644781e-01
8.098540881248453838e-01,3.284817178333819809e-01
8.100861326957864428e-01,3.288741037042194337e-01
8.105918712459317943e-01,3.279408631277213049e-01
8.100031207685158829e-01,3.284929620519260185e-01
8.104117861473757456e-01,3.285320831202511727e-01
8.097379702668816570e-01,3.283245291776124564e-01
8.098073847009360504e-01,3.285571340241625338e-01
8.098190672448286609e-01,3.285230184534819742e-01
8.098576724592934095e-01,3.287968332361447255e-01
8.100086362871979917e-01,3.282531052026528284e-01
8.098315249765544177e-01,3.283152593660768059e-01
8.097925292374108519e-01,3.287236246915590798e-01
8.100404361177743207e-01,3.283528935409451011e-01
8.101092431853593734e-01,3.283770006823684695e-01
8.101021389688266572e-01,3.291091564911144407e-01
8.099499868747115361e-01,3.281647794173108146e-01
8.103625447270536020e-01,3.290625369972992598e-01
8.099275324366751461e-01,3.282631581814858812e-01
8.100521154096831378e-01,3.290469814719967911e-01
8.101872646924742627e-01,3.291336316016644781e-01
8.099634989420556597e-01,3.286338691550089730e-01
8.100908349719846413e-01,3.288773093005349923e-01
8.111577491915336058e-01,3.276622235358217505e-01
8.099387144223760826e-01,3.286275200456030832e-01
8.108560332460990061e-01,3.281531005406986834e-01
8.098749979880337513e-01,3.283505419847380091e-01
8.098073847009360504e-01,3.285571340241625338e-01
8.099540470622030863e-01,3.287468669667053534e-01
8.098442907475403851e-01,3.288836034024721355e-01
8.099810352755223430e-01,3.283321081389428131e-01
8.099399959679987049e-01,3.283492533127503332e-01
8.098357071633173199e-01,3.287684730773794972e-01
8.100502912096675390e-01,3.283838189649464501e-01
8.101092431853593734e-01,3.283770006823684695e-01
8.101612549656291851e-01,3.292825844041028516e-01
8.100524058151084006e-01,3.278845276130070152e-01
8.104101751336830750e-01,3.291660670268033440e-01
8.099797233066646784e-01,3.281049094096381569e-01
8.099529769842745974e-01,3.289234884454724228e-01
8.101872646924742627e-01,3.291336316016644781e-01
8.098884907436413316e-01,3.285970002321060845e-01
8.100825862059672922e-01,3.288363507463742397e-01
8.121926277026527696e-01,3.270730835832243444e-01
8.099317253505912140e-01,3.285985179565850123e-01
8.114481522694602100e-01,3.280263089890953498e-01
8.098673371203621851e-01,3.283313303754152312e-01
8.098040451543440099e-01,3.285697120287345840e-01
8.099540470622030863e-01,3.287468669667053534e-01
8.097141561525267317e-01,3.287197955399366878e-01
8.099641122523092429e-01,3.282480782899475091e-01
8.099399959679987049e-01,3.283492533127503332e-01
8.097529889094435829e-01,3.291496027664117530e-01
8.101301178379541890e-01,3.280827004174800554e-01
8.101092431853593734e-01,3.283770006823684695e-01
8.101612549656291851e-01,3.292825844041028516e-01
8.102747978169119181e-01,3.272740402813007488e-01
